nr_isbn13,nr_egzemplarza,tytul,nr_edycji,autor,rok_wydania,czy_dostepne_online,liczba_stron,id_kategorii,id_filii
978-0-12-322476-7,2,Czy częściowo podczas,,Ida Bobrowicz,2022,False,965,31,9
978-1-275-79232-6,2,Ogień źle budować podział widoczny — latać dół wciąż,5,Marek Łakota,2004,False,575,5,10
978-0-08-781574-2,1,Cecha substancja wyłącznie treść,1,Iwo Wójt,2018,False,312,4,6
978-0-934431-52-1,2,Duński jedzenie ? program bycie władza specjalista,3,Adrianna Irla,1955,False,,13,10
978-1-950017-42-3,3,Wina wiara zakończenie mąż numer tańczyć,4,Ignacy Gajcy,1950,False,781,3,1
978-0-12-955367-0,1,Rzeczywistość numer przeszkoda piątek,5,Natasza Ośko,2003,False,898,38,1
978-0-323-13429-3,2,Sowa przyjść krzew stosować,1,Natasza Indyk,1966,False,426,11,3
978-1-80423-347-4,3,W Celu komputerowy hasło wszystko mysz operacja szlachetny,3,Olga Skierka,1998,True,395,17,6
978-0-210-43038-5,2,- polegać szpital sport hotel,,pan Kamil Sypuła,1998,True,756,15,8
978-0-200-55712-2,1,Biuro zachód chyba waluta,5,Anna Maria Jarmużek,1999,False,269,35,10
978-1-5219-9707-9,1,Że wykonanie,2,Krzysztof Pielech,1983,True,748,41,4
978-0-8176-1778-3,2,Układ Okresowy rada czyn,4,pan Emil Jaszcz,1974,True,261,12,4
978-0-432-44328-6,1,Samolot sztuka zmiana,1,Wiktor Pietrewicz,1966,True,101,39,8
978-1-162-61392-5,1,Pies bydło środek,4,pan Robert Szczechowicz,1960,False,596,48,1
978-0-908375-50-9,2,Dalej dwa pasek pozwalać zmarły zajmować wśród,,Marianna Śmieja,2000,False,242,4,4
978-1-935272-38-0,1,Miara polityka,5,Melania Witaszek,1970,False,412,43,5
978-0-903676-79-3,1,Przedsiębiorstwo znaczyć,3,Alan Zgoła,2017,False,580,43,10
978-1-263-60699-4,1,(…),,pani Melania Omiotek,1985,False,,22,9
978-0-19-005135-8,3,Umieć artykuł lubić ubranie,,Elżbieta Ćwirko,1986,True,475,33,6
978-1-72918-942-9,2,Papieros część urodzić,1,Kajetan Bugla,2018,False,370,19,5
978-1-4889-1514-7,1,Zadanie uczucie też ofiara,2,pani Anastazja Rduch,1952,True,,46,1
978-0-18-621051-6,2,Kwiat ze,5,pan Alan Tusk,2015,True,310,4,2
978-0-354-22880-0,2,Być Polak zaburzenie,1,Witold Lichoń,1955,False,422,19,10
978-1-55196-726-4,3,Należy mgła,5,Ada Małyszek,2022,False,576,1,5
978-1-250-88822-8,1,Ciąża wrogość następować czyn pewny śmiać się charakter korzyść,1,Eliza Kycia,1968,False,213,50,1
978-0-455-88134-8,3,Kawa ono reakcja kanał,,pan Alex Duszczak,2015,True,707,34,4
978-0-04-989271-2,2,Przypominać malować intensywny polegać,2,Norbert Rajczak,1992,False,377,49,8
978-0-03-957443-7,2,Kieszeń płaszcz,1,Marcin Cabała,2001,True,622,7,9
978-0-294-57236-0,3,Teren przyszłość choć część rzadko wiersz mąż żyć ruch,,pani Dagmara Rzeźniczek,1960,False,597,39,5
978-1-79035-631-7,3,Ubogi głupiec kolor umrzeć usuwać tak,3,Norbert Masny,1987,True,,24,1
978-0-329-36341-3,3,Opłata rzeka znaczyć słuchać pszczoła,,Marek Parafiniuk,1963,True,911,41,10
978-1-292-04872-7,3,Papież uciekać zawierać zbiornik,2,Nicole Obuchowicz,2020,True,810,11,3
978-0-15-939133-4,1,Chociaż się pierwiastek chemiczny lekki,4,pani Nicole Grzegorzak,2007,True,400,15,4
978-1-4001-5755-6,2,Dziura wewnątrz wróg nóż gardło grecki długość wąski,1,Marianna Szczesiak,2005,False,449,38,5
978-0-918557-48-3,1,Przyjaciel jedzenie wchodzić bułgarski,5,Piotr Kocaj,2003,True,876,32,4
978-0-89630-778-0,1,Butelka sen tarcza królestwo wprowadzać,1,Robert Galek,2022,False,438,19,8
978-1-902558-92-9,3,Wizyta nos,,pani Rozalia Jarmuła,2019,False,,38,7
978-1-70461-797-8,2,Itp rodzinny,3,pani Urszula Hałka,2004,True,163,9,6
978-1-4807-9262-3,2,Dokładnie ruch ząb,,Eryk Kołaczek,1972,False,,29,6
978-1-86749-433-1,1,Czynność słoneczny,5,Mateusz Sprawka,1991,False,569,4,1
978-0-657-44750-2,3,Ślub talerz wierzyć nauczycielka pokonać,2,Albert Gospodarek,2010,True,244,2,4
978-0-617-80783-4,1,Aby Hiszpania zgodnie,,Przemysław Kusik,1994,True,301,23,5
978-0-9879434-0-8,1,Grać zachowywać się wtedy zachowanie intensywny bieg,4,Adrian Kuczak,1964,False,133,26,3
978-0-296-74233-4,2,Sąsiad Chrystus azjatycki miejsce,4,Apolonia Molak,1970,True,179,4,2
978-0-9565929-7-2,3,Zrozumieć spodnie obecnie wybrać kiedyś,2,Kornelia Bak,1978,False,788,24,2
978-0-00-709793-7,2,Kraj poczta a narkotyk Jezus Rzym studia,5,Grzegorz Mudlaff,1989,False,480,19,6
978-1-292-21526-6,1,Reguła prostytutka obóz,,pani Adrianna Dumin,1992,False,892,16,10
978-0-7708-2578-2,1,Symbol zmęczony kłaść uważać otworzyć,5,pani Anita Plewnia,1986,False,733,37,7
978-0-258-92464-8,3,Muzyka niedźwiedź wyglądać rząd Bóg,3,Julianna Ciesielczyk,1952,False,692,48,9
978-1-4964-9460-3,1,Ulica kaczka wciąż bok suma teraz wymagać,2,Eryk Kałwa,2018,False,636,34,3
978-1-57843-992-8,3,Pojedynczy budynek królowa diabeł uwaga dziesięć kierować,1,Adam Fiedler,1980,True,579,47,4
978-0-610-94648-6,3,Wywodzić Się Kościół jajo,,Maciej Kubisz,2018,False,818,8,5
978-0-00-359766-0,3,Dział wydać drobny proszę rolnik niebo dlatego zjeść stawiać próba zwyczaj,3,Tobiasz Brząkała,1989,False,402,22,8
978-0-366-99015-3,3,Nikt zbyt samochód wysłać transport szkoła płaski,,pan Józef Kuska,2001,False,677,15,3
978-1-319-08648-0,3,Wśród sukces wydarzenie prywatny gazeta metr,3,Justyna Jarmuż,2008,False,397,39,10
978-1-82792-016-0,2,Koło mebel,3,Natan Pitura,1975,True,961,15,3
978-0-06-138980-1,1,Chodzić metoda dokument dzielić ile medycyna przy słaby ramię,3,Aleks Strojna,2022,False,978,25,9
978-0-14-636981-0,2,Pies lustro umrzeć,5,Cyprian Chatys,1963,False,447,41,8
978-0-906056-96-7,3,Kaczka jasny,2,Natasza Myszk,1992,False,881,31,8
978-0-7698-2287-7,1,Bohater brzuch oddech itp pragnąć,1,Dawid Wota,1959,True,,30,5
978-0-7796-4838-2,1,W Postaci i zamknąć dyskusja dziesięć tworzyć spadać np,,Gabriel Banek,1985,True,726,23,5
978-0-675-56670-4,1,Rola gdy,2,Fabian Wakuła,2023,True,410,21,4
978-1-02-909440-9,1,Spokojny klimat znosić żyć osiem klient przestrzeń by,5,Krystyna Szaj,1976,False,932,11,5
978-1-83134-358-0,3,Chrystus też prawy piętnaście 40 własny,1,Ignacy Teter,1995,True,487,31,7
978-1-79485-948-7,2,Pracować krzew ocean świątynia kino wewnętrzny no ponownie,,Blanka Ambrożewicz,1968,False,781,47,3
978-0-643-49393-3,3,6 daleko blisko mocny morze niechęć toponim,4,Wojciech Korab,2002,True,928,20,7
978-0-14-915653-0,3,Kierowca wartość potrzeba samolot,,Ksawery Gospodarek,2000,False,455,34,8
978-1-60575-134-4,3,Dziewczyna 3 klucz zająć,2,Gabriel Szarpak,1983,False,933,17,5
978-1-909745-21-6,2,Siła dodatek,3,Cezary Dydo,1978,False,476,17,4
978-1-5024-4444-8,2,Typ słońce substancja złoto pełny układ,5,Norbert Wojtalik,2018,True,906,3,7
978-1-79635-147-7,2,Działać tłumaczyć oni otwarty że sprawa klasztor,2,Tymoteusz Kapka,2004,True,592,14,4
978-0-471-54342-8,1,Skala przychodzić kłaść dla,1,Radosław Lulek,2024,False,770,40,1
978-0-666-58840-1,2,Korzyść temat sztuka koza,,Witold Miąsko,1956,True,883,50,10
978-1-71881-341-0,1,Wojna tor zamiast zaś,2,Jan Kolbusz,1996,True,235,46,6
978-1-5023-3519-7,2,Przeciwnik terytorium grudzień Szwecja środowisko,,Radosław Drewa,1992,False,559,9,5
978-0-246-97338-2,3,Ogólny oficjalny grzech religia ziemia,5,pan Nataniel Kursa,1994,False,162,29,7
978-1-82783-068-1,1,Pijany rzucić szkodliwy,4,Leonard Wiese,1979,False,694,9,5
978-0-15-179683-0,3,Wybór brak prywatny zamiar ciotka dwadzieścia,1,Aurelia Rosłoń,1997,True,394,15,4
978-0-362-29100-1,2,Francuski przygotować,3,Rafał Wereda,2015,False,163,38,6
978-1-9837-9358-5,1,Pijany obywatel taki ciepło koza brzuch zawodnik ostatni prywatny,1,Gustaw Gonsior,2013,False,490,30,10
978-0-633-06901-8,2,Poznać cierpieć połączenie przyszłość pozbawić wcześnie samiec,,pani Janina Mitek,2020,True,667,18,9
978-0-7887-8647-1,1,Gdyby podłoga cierpienie roślina,,Hubert Golda,2016,True,805,2,7
978-1-181-14066-2,1,Chwila choć noga,,Dominik Kurda,1962,True,516,8,3
978-0-379-04394-5,1,Zawsze pojedynczy przeciw uważać,1,pan Tobiasz Danieluk,1973,False,685,12,8
978-0-359-91675-7,1,Osoba tablica dwa,2,pani Róża Wiszowata,2021,False,358,49,1
978-0-254-68567-3,3,Arabski muzyczny taniec,2,pani Aurelia Dorobek,1970,True,691,8,8
978-0-16-469793-3,3,Usa udać się różowy sto nauczycielka statek sądzić,5,Eryk Cebo,1959,True,312,5,6
978-1-06-124271-4,3,Wojsko wada,3,Anna Maria Kamyszek,1970,True,733,25,9
978-1-163-59936-5,3,Wracać tani osobisty drobny,1,Liwia Ernst,1954,False,659,29,6
978-1-85993-343-5,1,Sowa zabawka jeszcze metalowy prowincja pomagać,2,Ewelina Koronkiewicz,1959,True,202,12,3
978-0-323-55040-6,2,Papież lew rozmowa włos obrona,,pan Dominik Sygut,1959,False,,27,10
978-0-7320-7033-5,3,Dokładnie zrozumieć lewy odległość minuta,3,Tomasz Zontek,1991,False,788,39,7
978-0-88796-250-9,2,Krok żołnierz pustynia,4,pan Hubert Plizga,1984,True,122,13,5
978-0-89116-035-9,2,Żołądek zgoda niektóry miły,,Tobiasz Chowaniak,1988,False,755,35,5
978-0-435-48124-7,1,Turecki katastrofa wiara system uzyskać próba oraz polegać wysoki,,Wiktor Nazarewicz,1996,True,204,19,2
978-1-168-63512-9,2,Znać bar uczucie wszystkie łóżko firma,,Bianka Kośnik,1969,True,641,40,3
978-1-82877-378-9,2,Wyglądać wino cierpieć postępowanie liczyć mieszkanka,,Szymon Krzywoń,2005,True,309,30,6
978-1-150-63724-7,2,Wypowiedź klucz,2,pan Grzegorz Małż,2024,False,,7,3
978-0-675-09982-0,2,Wreszcie wybór pamięć go złożony powoli pełny,5,Maurycy Jakubiuk,1971,True,688,26,2
978-1-913724-32-0,1,Chrześcijaństwo zatrzymać,5,Sebastian Cudzich,2003,False,391,8,7
978-0-225-01269-9,1,Obóz min bycie 0 przyszłość we zdrowie,,Wojciech Duszkiewicz,1951,False,537,27,4
978-1-4051-1533-9,1,Szeroki usługa tłuszcz,3,Krystian Kenig,1974,False,,25,6
978-1-258-14079-3,2,Zaś zakon wokół wizyta godność,,pani Kalina Drygała,1985,False,403,17,8
978-0-7548-8862-8,1,Strefa Węgry mieszkaniec mistrz potrawa wschód,,Grzegorz Łudzik,1999,False,300,14,8
978-0-86716-427-5,2,Bar lek rzucić lata władza odpowiedź męski społeczny artysta diabeł krzyż,2,Stanisław Mądrzak,2011,True,208,10,1
978-0-7545-4941-3,2,Żółty powstać parlament czapka,2,Olga Sapeta,2008,True,265,14,2
978-1-177-04185-0,2,Siostra Ameryka powstać obcy widzieć,4,Eliza Sapa,2023,False,658,6,6
978-0-458-85246-8,1,Pomysł Chrystus piasek musieć francuski albo wielki kult,2,Anna Maria Mądrzak,2011,False,433,27,1
978-0-356-28737-9,1,Kłaść przyjemność kończyć czterdzieści lato składać włos zajęcie,,Malwina Smal,1993,True,215,5,8
978-0-515-09565-4,1,Daleko mięsień poczta radio rozmowa komórka,3,Olgierd Błasik,2009,False,591,28,10
978-0-618-00132-3,2,Jutro rodzina,2,Oliwier Kuba,1957,True,635,11,6
978-1-86208-932-7,2,Towarzystwo córka sprzedaż nie umieszczać skończyć kłaść obchodzić szczęście muzeum,2,Ewelina Kranc,2000,False,650,41,3
978-0-599-42928-4,1,Fragment obrona finansowy rejon wiedza skłonność,2,pani Dorota Wyrobek,2005,True,,24,1
978-1-362-49143-9,2,Oglądać siebie Białoruś fragment przychodzić szwedzki,3,Ksawery Knych,1973,False,625,35,8
978-1-4886-9765-4,3,Cena 6 wspomnienie zmęczony serce konflikt,4,Sebastian Lepianka,1986,False,501,31,2
978-0-597-33229-6,1,Ściana Polska wybierać tutaj,3,Nela Gabryel,1967,False,191,14,10
978-0-492-55159-4,2,Ciężki przestać gwiazdozbiór,3,Janina Mydlak,2025,False,348,22,2
978-0-356-85998-9,1,Pełen by płyta głowa warunek umieszczać Indie postawa,2,pani Nicole Haremza,1994,False,205,41,2
978-0-13-595628-1,3,Mrówka pełny urodzić,,Dagmara Kubasiak,2003,True,361,36,1
978-0-571-50411-4,3,Uchodzić nad stopa łatwo,2,Tobiasz Linkiewicz,1959,False,359,21,6
978-0-05-295820-7,3,Smutny jabłko sobą lotnisko,5,Anita Budzyń,1989,False,898,13,4
978-1-64584-053-4,1,Sukienka słowacki oraz posługiwać się zbyt wspomnienie,4,Natan Bejnarowicz,1967,False,356,10,8
978-1-84196-650-2,3,Radiowy okolica tu no przypominać,1,pan Ksawery Hanzel,1989,True,608,38,9
978-1-908513-84-7,3,Budowla dwanaście cienki stan lotniczy piętro tablica obserwować,,Wojciech Nowrot,2005,False,772,48,5
978-0-8482-3015-9,3,Biskup rosyjski mężczyzna typ Holandia,1,pan Olgierd Latacz,1981,True,909,45,5
978-0-667-61063-7,1,Dla wzrost podróż prąd pasek Austria piłka,5,Rozalia Kluczyk,2020,False,,17,9
978-1-314-37289-2,2,Zakończyć teatr palec punkt minuta pytać bieg,1,Karol Godzisz,2007,False,456,40,7
978-1-311-08522-1,3,Adres tylko pytanie,1,Anita Berg,1970,True,434,46,9
978-1-58239-803-7,3,Gwałtowny gałąź wysoko suma lis osiem ulegać,,pan Krystian Krzosek,1971,False,,50,3
978-0-05-303425-2,2,Ci 60 prawie śnieg spadek urządzenie konstrukcja,,Radosław Kosiec,1989,False,822,43,2
978-0-298-07877-6,2,Mówić bogini prawy wywoływać pierwszy nawet Turcja talerz,2,Albert Matyjaszek,1975,False,118,24,7
978-1-296-75719-9,2,Przyszłość mocno płakać nóż lustro włos sygnał,5,Janina Żółkiewicz,1960,True,122,6,4
978-1-57020-720-4,1,Rzucić potrawa uderzenie,3,Andrzej Lipok,1954,True,187,16,10
978-1-140-01029-6,2,Jan podróżować ponad pomiędzy polegać artystyczny śpiewać,,Aniela Szpila,1959,False,646,36,10
978-0-7543-2509-3,2,Zaczynać czyli pojemnik choć lustro lód połowa,2,Krystian Ciechowicz,2001,True,,28,10
978-1-57798-180-0,3,Francja piwo wątpliwość krowa dziewięć,,Bruno Szajna,1999,False,990,19,6
978-1-63211-118-0,1,Co tarcza siebie,1,Aleks Łukasz,1967,True,917,29,6
978-0-18-848101-3,2,Prawny miejski wieś łódź artystyczny wiedza ćwiczenie spadać uważać,,Bruno Fleszar,2007,True,568,11,6
978-0-01-550820-3,1,10 delikatny daleki postępowanie,3,pani Kaja Zięciak,1995,False,139,8,2
978-0-03-845363-4,1,Istnienie archipelag piękny Europa piętnaście,1,Monika Sanetra,1980,True,572,24,8
978-1-919985-76-3,1,Czoło słoń kolorowy,1,Ewa Bochnak,2001,True,199,28,9
978-1-127-02504-6,3,Szczególnie właściwość olej uniwersytet,,pan Gabriel Ryczko,1973,True,626,43,2
978-0-200-30336-1,2,Ważny zainteresowanie,,Krzysztof Krochmal,1992,True,114,28,1
978-1-205-64849-5,2,Chory 3 piec np grecki zespół system doskonały na zewnątrz organizacja,3,pani Marcelina Potyrała,2010,True,566,27,2
978-1-71657-878-6,2,Piotr zamek owca koń mąka dokładny,,Jacek Kościukiewicz,1981,False,919,2,9
978-1-86144-894-1,2,Linia jeszcze turecki,4,Karina Bawoł,2010,True,,47,8
978-1-70834-531-0,3,Świątynia przyjemność Anglia okres umrzeć często znajdować sos lata,4,Damian Wyrwich,2020,True,143,15,4
978-1-81611-603-1,2,Istotny kobieta przyjemny drużyna urząd,,Wiktor Szymocha,1985,False,453,2,5
978-1-69937-996-7,3,Myśleć urodzić się hotel pozostać umożliwiać dużo,2,Antoni Krzywonos,1970,True,730,1,9
