id_wejscia,id_osoby,id_filii,data_wejscia,data_wyjscia
45,993,2,2025-12-28 19:14:18,2025-12-28 20:31:18
46,82,1,2025-12-28 19:12:47,2025-12-28 20:09:47
47,82,2,2025-12-28 19:12:40,2025-12-28 23:07:40
48,651,6,2025-12-28 19:12:35,2025-12-28 22:45:35
49,710,9,2025-12-28 19:13:16,2025-12-28 21:16:16
50,9,3,2025-12-28 19:14:06,2025-12-28 21:38:06
51,950,4,2025-12-28 19:13:39,2025-12-28 20:23:39
52,694,5,2025-12-28 19:13:04,2025-12-28 19:43:04
53,336,4,2025-12-28 19:12:44,2025-12-28 20:34:44
54,374,3,2025-12-28 19:11:52,2025-12-28 20:02:52
55,700,3,2025-12-28 19:14:25,2025-12-28 22:32:25
56,790,4,2025-12-28 19:13:27,2025-12-28 22:17:27
57,866,8,2025-12-28 19:12:31,2025-12-28 20:33:31
58,172,9,2025-12-28 19:13:29,2025-12-28 23:08:29
59,506,3,2025-12-28 19:13:26,2025-12-28 19:45:26
60,7,6,2025-12-28 19:13:58,2025-12-28 20:06:58
61,95,8,2025-12-28 19:12:33,2025-12-28 21:33:33
62,214,9,2025-12-28 19:12:16,2025-12-28 19:47:16
63,730,1,2025-12-28 19:14:25,2025-12-28 20:39:25
64,36,1,2025-12-28 19:12:29,2025-12-28 21:20:29
65,249,5,2025-12-28 19:12:34,2025-12-28 20:48:34
66,407,4,2025-12-28 19:12:00,2025-12-28 19:49:00
67,120,8,2025-12-28 19:12:53,2025-12-28 21:45:53
68,438,1,2025-12-28 19:12:29,2025-12-28 22:08:29
69,805,1,2025-12-28 19:12:28,2025-12-28 19:34:28
70,506,10,2025-12-28 19:13:49,2025-12-28 22:24:49
71,912,3,2025-12-28 19:13:12,2025-12-28 22:59:12
72,126,9,2025-12-28 19:14:18,2025-12-28 20:16:18
73,279,10,2025-12-28 19:12:35,2025-12-28 20:23:35
74,248,10,2025-12-28 19:14:48,2025-12-28 20:31:48
75,800,9,2025-12-28 19:14:42,2025-12-28 20:16:42
76,648,8,2025-12-28 19:14:13,2025-12-28 21:09:13
77,512,6,2025-12-28 19:14:31,2025-12-28 21:59:31
78,466,4,2025-12-28 19:11:59,2025-12-28 23:11:59
79,252,2,2025-12-28 19:14:25,2025-12-28 22:20:25
80,377,7,2025-12-28 19:14:17,2025-12-28 19:40:17
81,323,4,2025-12-28 19:14:15,2025-12-28 21:35:15
82,473,10,2025-12-28 19:13:22,2025-12-28 21:07:22
83,455,7,2025-12-28 19:12:30,2025-12-28 20:09:30
84,360,5,2025-12-28 19:13:22,2025-12-28 22:47:22
85,693,4,2025-12-28 19:12:24,2025-12-28 21:11:24
86,662,2,2025-12-28 19:14:44,2025-12-28 19:58:44
87,442,3,2025-12-28 19:12:10,2025-12-28 20:44:10
88,821,4,2025-12-28 19:13:57,2025-12-28 22:32:57
89,656,8,2025-12-28 19:12:25,2025-12-28 22:55:25
90,342,1,2025-12-28 19:14:22,2025-12-28 21:16:22
91,590,7,2025-12-28 19:13:53,2025-12-28 22:55:53
92,674,1,2025-12-28 19:13:58,2025-12-28 22:58:58
93,537,3,2025-12-28 19:12:32,2025-12-28 23:08:32
94,888,8,2025-12-28 19:14:22,2025-12-28 22:09:22
95,308,7,2025-12-28 19:12:01,2025-12-28 20:27:01
96,852,5,2025-12-28 19:14:37,2025-12-28 21:17:37
97,950,1,2025-12-28 19:13:24,2025-12-28 20:50:24
98,52,8,2025-12-28 19:13:54,2025-12-28 22:01:54
99,795,6,2025-12-28 19:13:56,2025-12-28 21:14:56
100,621,5,2025-12-28 19:13:08,2025-12-28 22:49:08
101,654,1,2025-12-28 19:11:51,2025-12-28 19:38:51
102,728,9,2025-12-28 19:12:49,2025-12-28 20:50:49
103,652,8,2025-12-28 19:14:32,2025-12-28 20:06:32
104,385,7,2025-12-28 19:11:59,2025-12-28 21:02:59
105,920,6,2025-12-28 19:14:06,2025-12-28 19:37:06
106,928,2,2025-12-28 19:13:51,2025-12-28 20:08:51
107,924,10,2025-12-28 19:11:57,2025-12-28 22:31:57
108,449,2,2025-12-28 19:11:52,2025-12-28 23:02:52
109,389,8,2025-12-28 19:14:42,2025-12-28 20:43:42
110,363,6,2025-12-28 19:14:09,2025-12-28 20:06:09
111,800,6,2025-12-28 19:14:33,2025-12-28 19:20:33
112,315,3,2025-12-28 19:14:24,2025-12-28 19:36:24
113,235,4,2025-12-28 19:14:49,2025-12-28 20:34:49
114,901,7,2025-12-28 19:14:35,2025-12-28 22:33:35
115,700,3,2025-12-28 19:14:00,2025-12-28 22:16:00
116,160,9,2025-12-28 19:14:50,2025-12-28 22:18:50
117,904,1,2025-12-28 19:12:16,2025-12-28 22:10:16
118,898,5,2025-12-28 19:14:08,2025-12-28 21:57:08
119,739,5,2025-12-28 19:14:38,2025-12-28 20:18:38
120,215,2,2025-12-28 19:13:14,2025-12-28 19:24:14
121,616,3,2025-12-28 19:13:01,2025-12-28 20:51:01
122,104,3,2025-12-28 19:12:21,2025-12-28 20:43:21
123,732,7,2025-12-28 19:14:18,2025-12-28 20:12:18
124,643,6,2025-12-28 19:14:04,2025-12-28 22:17:04
125,584,9,2025-12-28 19:13:25,2025-12-28 22:32:25
126,628,8,2025-12-28 19:13:27,2025-12-28 22:55:27
127,540,2,2025-12-28 19:12:20,2025-12-28 19:42:20
128,712,9,2025-12-28 19:13:06,2025-12-28 19:34:06
129,985,2,2025-12-28 19:12:42,2025-12-28 20:20:42
130,910,10,2025-12-28 19:14:03,2025-12-28 23:10:03
131,140,1,2025-12-28 19:14:23,2025-12-28 21:41:23
132,265,1,2025-12-28 19:13:40,2025-12-28 22:28:40
133,534,3,2025-12-28 19:11:57,2025-12-28 22:06:57
134,770,5,2025-12-28 19:12:16,2025-12-28 19:45:16
135,785,5,2025-12-28 19:14:51,2025-12-28 22:33:51
136,761,5,2025-12-28 19:12:56,2025-12-28 23:08:56
137,440,3,2025-12-28 19:14:19,2025-12-28 21:23:19
138,377,3,2025-12-28 19:14:00,2025-12-28 21:17:00
139,829,5,2025-12-28 19:14:06,2025-12-28 21:19:06
140,825,10,2025-12-28 19:13:34,2025-12-28 22:17:34
141,355,8,2025-12-28 19:12:20,2025-12-28 19:49:20
142,120,6,2025-12-28 19:14:07,2025-12-28 19:53:07
143,661,4,2025-12-28 19:12:02,2025-12-28 22:36:02
144,368,10,2025-12-28 19:13:52,2025-12-28 19:57:52
145,583,4,2025-12-28 19:14:13,2025-12-28 22:44:13
146,756,2,2025-12-28 19:14:49,2025-12-28 22:51:49
147,658,5,2025-12-28 19:12:43,2025-12-28 22:37:43
148,719,10,2025-12-28 19:13:53,2025-12-28 19:21:53
149,386,6,2025-12-28 19:14:08,2025-12-28 22:48:08
150,407,8,2025-12-28 19:12:25,2025-12-28 20:09:25
151,406,9,2025-12-28 19:11:53,2025-12-28 21:33:53
152,514,3,2025-12-28 19:13:43,2025-12-28 20:07:43
153,3,7,2025-12-28 19:13:01,2025-12-28 23:02:01
154,837,3,2025-12-28 19:13:57,2025-12-28 22:00:57
155,529,5,2025-12-28 19:14:28,2025-12-28 22:00:28
156,181,2,2025-12-28 19:14:46,2025-12-28 20:31:46
157,514,2,2025-12-28 19:12:50,2025-12-28 20:24:50
158,910,5,2025-12-28 19:13:32,2025-12-28 19:57:32
159,883,4,2025-12-28 19:14:29,2025-12-28 20:56:29
160,775,7,2025-12-28 19:14:43,2025-12-28 19:28:43
161,329,10,2025-12-28 19:13:44,2025-12-28 22:47:44
162,576,5,2025-12-28 19:12:47,2025-12-28 21:45:47
163,864,5,2025-12-28 19:11:52,2025-12-28 22:12:52
164,898,9,2025-12-28 19:13:28,2025-12-28 22:42:28
165,396,6,2025-12-28 19:12:53,2025-12-28 21:05:53
166,817,6,2025-12-28 19:14:18,2025-12-28 19:48:18
167,514,5,2025-12-28 19:13:41,2025-12-28 19:52:41
168,501,8,2025-12-28 19:12:10,2025-12-28 21:10:10
169,34,5,2025-12-28 19:14:12,2025-12-28 22:18:12
170,521,4,2025-12-28 19:11:53,2025-12-28 20:36:53
171,778,7,2025-12-28 19:14:08,2025-12-28 19:43:08
172,267,8,2025-12-28 19:14:19,2025-12-28 20:58:19
173,957,2,2025-12-28 19:13:09,2025-12-28 21:12:09
174,751,1,2025-12-28 19:12:02,2025-12-28 20:28:02
175,167,3,2025-12-28 19:13:16,2025-12-28 23:05:16
176,953,4,2025-12-28 19:13:42,2025-12-28 21:06:42
177,745,5,2025-12-28 19:13:02,2025-12-28 19:19:02
178,992,5,2025-12-28 19:14:46,2025-12-28 22:41:46
179,154,4,2025-12-28 19:12:32,2025-12-28 22:17:32
180,62,3,2025-12-28 19:12:07,2025-12-28 22:10:07
181,915,3,2025-12-28 19:12:18,2025-12-28 20:53:18
182,824,2,2025-12-28 19:13:54,2025-12-28 19:47:54
183,121,1,2025-12-28 19:11:55,2025-12-28 23:08:55
184,719,8,2025-12-28 19:12:38,2025-12-28 21:03:38
185,301,4,2025-12-28 19:12:11,2025-12-28 20:24:11
186,758,6,2025-12-28 19:14:04,2025-12-28 20:40:04
187,982,10,2025-12-28 19:11:51,2025-12-28 21:24:51
188,128,1,2025-12-28 19:13:29,2025-12-28 21:40:29
189,35,2,2025-12-28 19:12:08,2025-12-28 20:04:08
190,382,3,2025-12-28 19:13:02,2025-12-28 19:20:02
191,367,4,2025-12-28 19:13:53,2025-12-28 19:43:53
192,269,4,2025-12-28 19:14:49,2025-12-28 21:50:49
193,798,10,2025-12-28 19:14:33,2025-12-28 22:24:33
194,251,4,2025-12-28 19:12:09,2025-12-28 21:25:09
195,52,7,2025-12-28 19:11:51,2025-12-28 22:30:51
196,736,7,2025-12-28 19:14:13,2025-12-28 21:26:13
197,223,6,2025-12-28 19:12:25,2025-12-28 19:43:25
198,273,10,2025-12-28 19:13:14,2025-12-28 19:26:14
199,844,5,2025-12-28 19:12:55,2025-12-28 22:32:55
200,30,10,2025-12-28 19:14:27,2025-12-28 22:54:27
201,270,9,2025-12-28 19:12:11,2025-12-28 19:35:11
202,44,5,2025-12-28 19:14:22,2025-12-28 22:55:22
203,208,9,2025-12-28 19:12:11,2025-12-28 20:21:11
204,957,7,2025-12-28 19:12:01,2025-12-28 22:41:01
205,793,2,2025-12-28 19:11:58,2025-12-28 21:12:58
206,717,4,2025-12-28 19:14:49,2025-12-28 21:39:49
207,869,10,2025-12-28 19:14:15,2025-12-28 20:17:15
208,635,9,2025-12-28 19:11:52,2025-12-28 21:17:52
209,362,2,2025-12-28 19:13:40,2025-12-28 21:40:40
210,334,6,2025-12-28 19:12:11,2025-12-28 19:36:11
211,133,4,2025-12-28 19:13:40,2025-12-28 20:14:40
212,854,5,2025-12-28 19:13:15,2025-12-28 21:40:15
213,80,10,2025-12-28 19:14:22,2025-12-28 22:51:22
214,875,1,2025-12-28 19:14:05,2025-12-28 23:13:05
215,597,1,2025-12-28 19:13:32,2025-12-28 19:34:32
216,777,6,2025-12-28 19:12:22,2025-12-28 21:11:22
217,380,10,2025-12-28 19:14:13,2025-12-28 19:54:13
218,632,6,2025-12-28 19:13:06,2025-12-28 22:47:06
219,155,7,2025-12-28 19:13:33,2025-12-28 21:33:33
220,211,9,2025-12-28 19:12:44,2025-12-28 21:14:44
221,936,6,2025-12-28 19:13:47,2025-12-28 20:36:47
222,562,8,2025-12-28 19:14:20,2025-12-28 20:47:20
223,215,6,2025-12-28 19:12:56,2025-12-28 19:44:56
224,780,7,2025-12-28 19:12:51,2025-12-28 21:19:51
225,500,4,2025-12-28 19:12:49,2025-12-28 22:01:49
226,590,5,2025-12-28 19:13:37,2025-12-28 20:51:37
227,204,5,2025-12-28 19:14:23,2025-12-28 19:19:23
228,593,3,2025-12-28 19:14:35,2025-12-28 21:07:35
229,72,10,2025-12-28 19:13:59,2025-12-28 21:32:59
230,677,5,2025-12-28 19:13:01,2025-12-28 19:32:01
231,612,10,2025-12-28 19:12:41,2025-12-28 19:44:41
232,652,8,2025-12-28 19:12:51,2025-12-28 22:11:51
233,916,5,2025-12-28 19:13:02,2025-12-28 21:48:02
234,329,4,2025-12-28 19:12:18,2025-12-28 20:19:18
235,677,3,2025-12-28 19:12:11,2025-12-28 20:33:11
236,795,5,2025-12-28 19:12:48,2025-12-28 21:47:48
237,293,4,2025-12-28 19:13:24,2025-12-28 21:14:24
238,993,2,2025-12-28 19:12:47,2025-12-28 22:48:47
239,132,7,2025-12-28 19:14:13,2025-12-28 21:11:13
240,708,1,2025-12-28 19:12:20,2025-12-28 21:25:20
241,844,4,2025-12-28 19:14:14,2025-12-28 21:15:14
242,836,8,2025-12-28 19:12:11,2025-12-28 22:02:11
243,912,7,2025-12-28 19:13:23,2025-12-28 19:28:23
244,564,4,2025-12-28 19:12:02,2025-12-28 20:13:02
245,365,6,2025-12-28 19:14:02,2025-12-28 19:25:02
246,561,2,2025-12-28 19:13:43,2025-12-28 20:57:43
247,892,6,2025-12-28 19:12:18,2025-12-28 19:22:18
248,438,9,2025-12-28 19:12:56,2025-12-28 19:35:56
249,292,8,2025-12-28 19:14:05,2025-12-28 20:25:05
250,822,1,2025-12-28 19:13:31,2025-12-28 22:04:31
251,746,5,2025-12-28 19:13:04,2025-12-28 22:20:04
252,476,9,2025-12-28 19:13:30,2025-12-28 20:57:30
253,424,9,2025-12-28 19:13:33,2025-12-28 21:37:33
254,400,9,2025-12-28 19:13:45,2025-12-28 21:17:45
255,253,8,2025-12-28 19:14:10,2025-12-28 22:17:10
256,738,5,2025-12-28 19:12:11,2025-12-28 21:39:11
257,509,7,2025-12-28 19:14:39,2025-12-28 19:44:39
258,209,3,2025-12-28 19:12:03,2025-12-28 21:35:03
259,561,6,2025-12-28 19:12:34,2025-12-28 22:08:34
260,157,2,2025-12-28 19:12:16,2025-12-28 22:48:16
261,137,2,2025-12-28 19:14:25,2025-12-28 22:27:25
262,353,9,2025-12-28 19:13:53,2025-12-28 19:42:53
263,705,7,2025-12-28 19:13:53,2025-12-28 22:29:53
264,53,9,2025-12-28 19:13:12,2025-12-28 21:22:12
265,338,4,2025-12-28 19:14:28,2025-12-28 19:59:28
266,678,1,2025-12-28 19:13:03,2025-12-28 22:00:03
267,545,4,2025-12-28 19:12:32,2025-12-28 21:34:32
268,487,10,2025-12-28 19:13:20,2025-12-28 20:39:20
269,452,2,2025-12-28 19:13:37,2025-12-28 19:31:37
270,642,3,2025-12-28 19:12:00,2025-12-28 19:17:00
271,895,9,2025-12-28 19:13:31,2025-12-28 22:51:31
272,71,9,2025-12-28 19:13:41,2025-12-28 22:11:41
273,326,3,2025-12-28 19:12:45,2025-12-28 21:49:45
274,805,5,2025-12-28 19:14:15,2025-12-28 21:46:15
275,110,2,2025-12-28 19:13:38,2025-12-28 20:28:38
276,42,1,2025-12-28 19:14:33,2025-12-28 22:59:33
277,483,9,2025-12-28 19:12:06,2025-12-28 22:39:06
278,227,2,2025-12-28 19:12:12,2025-12-28 21:24:12
279,582,10,2025-12-28 19:13:49,2025-12-28 20:24:49
280,638,7,2025-12-28 19:12:40,2025-12-28 19:51:40
281,484,9,2025-12-28 19:13:34,2025-12-28 21:34:34
282,784,6,2025-12-28 19:13:50,2025-12-28 20:27:50
283,462,10,2025-12-28 19:14:38,2025-12-28 22:53:38
284,197,6,2025-12-28 19:11:57,2025-12-28 20:14:57
285,694,4,2025-12-28 19:11:51,2025-12-28 20:05:51
286,603,3,2025-12-28 19:12:19,2025-12-28 22:46:19
287,22,9,2025-12-28 19:13:12,2025-12-28 23:05:12
288,236,1,2025-12-28 19:12:53,2025-12-28 21:25:53
289,393,4,2025-12-28 19:12:52,2025-12-28 21:01:52
290,343,8,2025-12-28 19:13:20,2025-12-28 19:43:20
291,176,8,2025-12-28 19:12:30,2025-12-28 20:53:30
292,751,5,2025-12-28 19:12:29,2025-12-28 20:40:29
293,517,4,2025-12-28 19:13:36,2025-12-28 22:17:36
294,298,7,2025-12-28 19:12:00,2025-12-28 22:14:00
295,934,4,2025-12-28 19:12:58,2025-12-28 22:42:58
296,20,6,2025-12-28 19:11:53,2025-12-28 23:01:53
297,925,2,2025-12-28 19:12:21,2025-12-28 19:23:21
298,211,5,2025-12-28 19:12:44,2025-12-28 21:44:44
299,956,9,2025-12-28 19:14:34,2025-12-28 20:31:34
300,656,9,2025-12-28 19:13:55,2025-12-28 21:41:55
301,448,8,2025-12-28 19:14:39,2025-12-28 19:46:39
302,599,5,2025-12-28 19:11:58,2025-12-28 21:33:58
303,200,6,2025-12-28 19:13:14,2025-12-28 23:13:14
304,387,8,2025-12-28 19:12:59,2025-12-28 20:29:59
305,861,4,2025-12-28 19:12:23,2025-12-28 20:05:23
306,490,4,2025-12-28 19:13:44,2025-12-28 21:04:44
307,509,10,2025-12-28 19:13:24,2025-12-28 22:25:24
308,317,7,2025-12-28 19:14:23,2025-12-28 19:30:23
309,279,10,2025-12-28 19:12:34,2025-12-28 22:09:34
310,744,7,2025-12-28 19:13:11,2025-12-28 22:54:11
311,192,7,2025-12-28 19:12:47,2025-12-28 20:56:47
312,875,8,2025-12-28 19:14:26,2025-12-28 23:14:26
313,397,3,2025-12-28 19:14:11,2025-12-28 22:31:11
314,472,6,2025-12-28 19:12:50,2025-12-28 22:30:50
315,50,5,2025-12-28 19:12:22,2025-12-28 22:50:22
316,585,8,2025-12-28 19:11:55,2025-12-28 20:35:55
317,501,8,2025-12-28 19:12:08,2025-12-28 19:58:08
318,412,2,2025-12-28 19:13:58,2025-12-28 19:43:58
319,410,2,2025-12-28 19:13:33,2025-12-28 22:47:33
320,266,4,2025-12-28 19:14:13,2025-12-28 19:58:13
321,18,8,2025-12-28 19:13:49,2025-12-28 21:52:49
322,538,4,2025-12-28 19:12:48,2025-12-28 22:18:48
323,589,5,2025-12-28 19:12:04,2025-12-28 19:33:04
324,70,8,2025-12-28 19:12:58,2025-12-28 19:24:58
325,205,10,2025-12-28 19:13:55,2025-12-28 19:29:55
326,751,10,2025-12-28 19:12:44,2025-12-28 22:24:44
327,434,1,2025-12-28 19:13:45,2025-12-28 21:56:45
328,555,7,2025-12-28 19:14:44,2025-12-28 22:23:44
329,815,4,2025-12-28 19:12:41,2025-12-28 22:01:41
330,406,2,2025-12-28 19:13:27,2025-12-28 20:37:27
331,932,10,2025-12-28 19:12:58,2025-12-28 20:37:58
332,818,1,2025-12-28 19:14:37,2025-12-28 23:05:37
333,503,2,2025-12-28 19:12:02,2025-12-28 22:53:02
334,566,9,2025-12-28 19:12:49,2025-12-28 19:25:49
335,607,7,2025-12-28 19:13:49,2025-12-28 20:26:49
336,63,2,2025-12-28 19:12:59,2025-12-28 22:26:59
337,117,5,2025-12-28 19:12:39,2025-12-28 22:29:39
338,642,4,2025-12-28 19:12:58,2025-12-28 21:32:58
339,54,2,2025-12-28 19:14:41,2025-12-28 21:11:41
340,186,2,2025-12-28 19:12:46,2025-12-28 20:05:46
341,262,9,2025-12-28 19:13:06,2025-12-28 22:38:06
342,127,4,2025-12-28 19:13:22,2025-12-28 21:53:22
343,17,4,2025-12-28 19:13:40,2025-12-28 21:08:40
344,733,9,2025-12-28 19:14:04,2025-12-28 19:45:04
345,850,5,2025-12-28 19:12:58,2025-12-28 20:08:58
346,630,2,2025-12-28 19:14:34,2025-12-28 21:58:34
347,307,1,2025-12-28 19:14:12,2025-12-28 21:56:12
348,558,10,2025-12-28 19:13:18,2025-12-28 20:43:18
349,245,9,2025-12-28 19:13:36,2025-12-28 21:31:36
350,746,9,2025-12-28 19:12:54,2025-12-28 20:34:54
351,213,6,2025-12-28 19:13:12,2025-12-28 20:54:12
352,757,3,2025-12-28 19:12:44,2025-12-28 22:48:44
353,122,9,2025-12-28 19:12:20,2025-12-28 20:19:20
354,850,1,2025-12-28 19:11:55,2025-12-28 22:11:55
355,350,1,2025-12-28 19:12:01,2025-12-28 23:05:01
356,638,5,2025-12-28 19:12:21,2025-12-28 21:08:21
357,737,4,2025-12-28 19:12:59,2025-12-28 22:48:59
358,714,2,2025-12-28 19:13:45,2025-12-28 22:20:45
359,856,9,2025-12-28 19:13:49,2025-12-28 21:13:49
360,659,3,2025-12-28 19:12:34,2025-12-28 22:39:34
361,936,9,2025-12-28 19:13:45,2025-12-28 22:09:45
362,945,10,2025-12-28 19:12:19,2025-12-28 20:52:19
363,632,2,2025-12-28 19:13:53,2025-12-28 21:18:53
364,778,6,2025-12-28 19:14:06,2025-12-28 19:50:06
365,941,3,2025-12-28 19:12:20,2025-12-28 23:03:20
366,668,8,2025-12-28 19:14:47,2025-12-28 22:18:47
367,536,10,2025-12-28 19:12:31,2025-12-28 21:40:31
368,731,3,2025-12-28 19:12:01,2025-12-28 20:08:01
369,807,8,2025-12-28 19:12:39,2025-12-28 20:01:39
370,945,7,2025-12-28 19:12:24,2025-12-28 22:12:24
371,463,7,2025-12-28 19:13:17,2025-12-28 21:10:17
372,317,2,2025-12-28 19:12:24,2025-12-28 19:23:24
373,862,9,2025-12-28 19:14:48,2025-12-28 19:24:48
374,326,1,2025-12-28 19:14:01,2025-12-28 19:42:01
375,497,8,2025-12-28 19:13:52,2025-12-28 19:29:52
376,200,2,2025-12-28 19:12:06,2025-12-28 22:02:06
377,723,8,2025-12-28 19:13:21,2025-12-28 19:38:21
378,749,9,2025-12-28 19:12:15,2025-12-28 23:07:15
379,300,3,2025-12-28 19:13:10,2025-12-28 22:40:10
380,1,7,2025-12-28 19:13:25,2025-12-28 21:17:25
381,686,1,2025-12-28 19:12:04,2025-12-28 21:20:04
382,948,9,2025-12-28 19:12:12,2025-12-28 19:32:12
383,338,6,2025-12-28 19:12:04,2025-12-28 23:12:04
384,722,6,2025-12-28 19:13:05,2025-12-28 20:57:05
385,68,1,2025-12-28 19:14:25,2025-12-28 21:10:25
386,587,8,2025-12-28 19:14:26,2025-12-28 23:02:26
387,663,3,2025-12-28 19:14:39,2025-12-28 22:34:39
388,632,8,2025-12-28 19:14:44,2025-12-28 20:52:44
389,63,8,2025-12-28 19:14:49,2025-12-28 20:12:49
390,882,1,2025-12-28 19:14:14,2025-12-28 22:56:14
391,452,7,2025-12-28 19:13:52,2025-12-28 20:05:52
392,978,3,2025-12-28 19:12:52,2025-12-28 22:02:52
393,428,5,2025-12-28 19:13:18,2025-12-28 23:12:18
394,278,7,2025-12-28 19:12:29,2025-12-28 22:57:29
395,139,5,2025-12-28 19:13:13,2025-12-28 21:33:13
396,929,5,2025-12-28 19:13:40,2025-12-28 22:18:40
397,460,6,2025-12-28 19:13:45,2025-12-28 19:25:45
398,676,3,2025-12-28 19:12:11,2025-12-28 19:28:11
399,916,9,2025-12-28 19:12:47,2025-12-28 23:05:47
400,194,10,2025-12-28 19:12:49,2025-12-28 21:44:49
401,309,4,2025-12-28 19:13:48,2025-12-28 19:32:48
402,85,2,2025-12-28 19:13:17,2025-12-28 19:33:17
403,230,2,2025-12-28 19:14:22,2025-12-28 21:07:22
404,69,7,2025-12-28 19:12:39,2025-12-28 20:50:39
405,719,1,2025-12-28 19:13:20,2025-12-28 22:20:20
406,417,6,2025-12-28 19:14:44,2025-12-28 19:25:44
407,389,9,2025-12-28 19:14:26,2025-12-28 20:11:26
408,571,2,2025-12-28 19:12:24,2025-12-28 19:55:24
409,801,8,2025-12-28 19:11:53,2025-12-28 20:05:53
410,258,1,2025-12-28 19:13:26,2025-12-28 22:03:26
411,20,9,2025-12-28 19:12:30,2025-12-28 22:57:30
412,237,1,2025-12-28 19:14:49,2025-12-28 21:08:49
413,164,6,2025-12-28 19:13:01,2025-12-28 21:46:01
414,815,9,2025-12-28 19:12:08,2025-12-28 19:55:08
415,911,10,2025-12-28 19:13:28,2025-12-28 21:44:28
416,345,9,2025-12-28 19:12:09,2025-12-28 20:38:09
417,924,4,2025-12-28 19:12:45,2025-12-28 20:02:45
418,337,5,2025-12-28 19:13:03,2025-12-28 20:05:03
419,348,7,2025-12-28 19:13:35,2025-12-28 19:22:35
420,755,6,2025-12-28 19:12:58,2025-12-28 23:07:58
421,926,6,2025-12-28 19:14:02,2025-12-28 20:53:02
422,318,7,2025-12-28 19:14:08,2025-12-28 21:10:08
423,70,4,2025-12-28 19:12:33,2025-12-28 21:56:33
424,401,5,2025-12-28 19:13:09,2025-12-28 20:23:09
425,870,2,2025-12-28 19:14:10,2025-12-28 22:37:10
426,870,3,2025-12-28 19:13:36,2025-12-28 20:23:36
427,381,4,2025-12-28 19:14:37,2025-12-28 21:09:37
428,668,3,2025-12-28 19:12:23,2025-12-28 21:04:23
429,128,7,2025-12-28 19:14:31,2025-12-28 20:51:31
430,622,5,2025-12-28 19:12:17,2025-12-28 21:21:17
431,563,10,2025-12-28 19:12:44,2025-12-28 22:35:44
432,412,7,2025-12-28 19:12:15,2025-12-28 20:05:15
433,227,8,2025-12-28 19:13:34,2025-12-28 22:31:34
434,877,5,2025-12-28 19:12:55,2025-12-28 21:16:55
435,785,10,2025-12-28 19:13:02,2025-12-28 22:06:02
