id_rezerwacji,nr_isbn,id_osoby,id_filii,data_rezerwacji,status,wygasa_dnia
40,978-1-102-72614-2,66,5,2025-12-11 17:39:45,anulowana,2025-12-18
41,978-1-56999-880-9,190,2,2025-12-11 17:39:05,anulowana,2025-12-18
42,978-1-00-902559-1,126,1,2025-12-11 17:39:54,zrealizowana,2025-12-18
43,978-1-65280-924-1,141,4,2025-12-11 17:39:57,anulowana,2025-12-18
44,978-1-4918-0172-7,57,5,2025-12-11 17:39:55,zrealizowana,2025-12-18
45,978-0-466-57293-8,177,1,2025-12-11 17:40:01,oczekująca,2025-12-18
46,978-1-74355-379-4,40,2,2025-12-11 17:39:57,anulowana,2025-12-18
47,978-1-75170-166-8,130,1,2025-12-11 17:39:21,zrealizowana,2025-12-18
48,978-1-911665-53-3,19,3,2025-12-11 17:39:02,oczekująca,2025-12-18
49,978-1-179-57602-2,78,2,2025-12-11 17:39:43,anulowana,2025-12-18
50,978-0-413-26111-3,49,1,2025-12-11 17:39:45,oczekująca,2025-12-18
51,978-0-8091-9015-7,76,1,2025-12-11 17:39:20,oczekująca,2025-12-18
52,978-1-885015-56-3,199,1,2025-12-11 17:39:07,oczekująca,2025-12-18
53,978-1-65198-253-2,116,1,2025-12-11 17:39:11,zrealizowana,2025-12-18
54,978-0-348-64518-7,170,4,2025-12-11 17:39:53,oczekująca,2025-12-18
55,978-0-347-85196-1,88,4,2025-12-11 17:39:11,zrealizowana,2025-12-18
56,978-0-219-71997-9,78,4,2025-12-11 17:39:47,anulowana,2025-12-18
57,978-1-5333-1537-3,163,5,2025-12-11 17:39:55,anulowana,2025-12-18
58,978-1-81291-428-0,174,4,2025-12-11 17:39:22,oczekująca,2025-12-18
59,978-1-66907-826-5,82,3,2025-12-11 17:39:04,oczekująca,2025-12-18
60,978-0-582-73902-4,180,4,2025-12-11 17:39:54,zrealizowana,2025-12-18
61,978-0-471-56627-4,198,1,2025-12-11 17:39:05,zrealizowana,2025-12-18
62,978-1-03-242044-8,176,4,2025-12-11 17:39:08,oczekująca,2025-12-18
63,978-1-58777-121-7,10,4,2025-12-11 17:39:11,oczekująca,2025-12-18
64,978-1-9822-7495-5,65,5,2025-12-11 17:39:58,oczekująca,2025-12-18
65,978-1-59579-472-7,63,1,2025-12-11 17:39:33,zrealizowana,2025-12-18
66,978-1-58777-121-7,192,3,2025-12-11 17:39:30,oczekująca,2025-12-18
67,978-0-207-04961-3,9,3,2025-12-11 17:39:50,zrealizowana,2025-12-18
68,978-1-932302-34-9,199,4,2025-12-11 17:39:49,oczekująca,2025-12-18
69,978-0-18-374550-9,25,1,2025-12-11 17:40:00,anulowana,2025-12-18
70,978-0-86338-392-2,152,1,2025-12-11 17:39:22,anulowana,2025-12-18
71,978-0-9520046-1-5,18,5,2025-12-11 17:39:04,oczekująca,2025-12-18
72,978-1-58030-468-9,71,5,2025-12-11 17:39:34,zrealizowana,2025-12-18
73,978-0-12-983381-9,168,1,2025-12-11 17:39:12,zrealizowana,2025-12-18
74,978-0-12-920875-4,31,5,2025-12-11 17:39:26,zrealizowana,2025-12-18
75,978-0-397-76719-9,116,3,2025-12-11 17:39:30,oczekująca,2025-12-18
76,978-1-56205-336-9,75,5,2025-12-11 17:39:52,zrealizowana,2025-12-18
77,978-1-399-89354-1,29,2,2025-12-11 17:39:03,oczekująca,2025-12-18
78,978-1-85424-932-6,124,4,2025-12-11 17:39:13,oczekująca,2025-12-18
79,978-1-102-72614-2,100,2,2025-12-11 17:39:37,zrealizowana,2025-12-18
80,978-1-930848-87-0,78,2,2025-12-11 17:39:04,oczekująca,2025-12-18
81,978-0-357-85294-1,175,5,2025-12-11 17:39:38,zrealizowana,2025-12-18
82,978-1-4783-6674-4,183,4,2025-12-11 17:39:32,anulowana,2025-12-18
83,978-0-513-27195-1,26,2,2025-12-11 17:39:16,oczekująca,2025-12-18
84,978-1-57760-049-7,190,5,2025-12-11 17:39:36,anulowana,2025-12-18
85,978-0-561-64840-8,113,4,2025-12-11 17:39:01,zrealizowana,2025-12-18
86,978-1-4976-7762-3,6,5,2025-12-11 17:39:29,anulowana,2025-12-18
87,978-1-71333-447-7,163,5,2025-12-11 17:39:40,oczekująca,2025-12-18
88,978-0-606-02908-7,122,1,2025-12-11 17:39:38,zrealizowana,2025-12-18
89,978-1-56792-287-5,143,4,2025-12-11 17:39:07,oczekująca,2025-12-18
90,978-1-5126-9448-2,23,3,2025-12-11 17:39:19,anulowana,2025-12-18
91,978-0-348-64518-7,122,4,2025-12-11 17:39:39,anulowana,2025-12-18
92,978-1-908776-61-7,36,1,2025-12-11 17:39:16,oczekująca,2025-12-18
93,978-0-305-17289-3,23,5,2025-12-11 17:39:32,oczekująca,2025-12-18
94,978-0-943533-44-5,115,5,2025-12-11 17:39:59,zrealizowana,2025-12-18
95,978-0-551-07620-4,68,4,2025-12-11 17:39:58,oczekująca,2025-12-18
96,978-0-7139-6605-3,150,4,2025-12-11 17:39:07,oczekująca,2025-12-18
97,978-0-505-05739-6,11,2,2025-12-11 17:39:39,oczekująca,2025-12-18
98,978-1-383-38848-0,77,2,2025-12-11 17:39:06,anulowana,2025-12-18
99,978-1-4224-3864-0,3,3,2025-12-11 17:39:03,oczekująca,2025-12-18
100,978-0-693-85977-2,4,1,2025-12-11 17:39:18,anulowana,2025-12-18
