id_wejscia,id_osoby,id_filii,data_wejscia
74,199,5,2025-12-11 17:38:45
75,192,1,2025-12-11 17:38:15
76,191,2,2025-12-11 17:39:14
77,169,4,2025-12-11 17:39:28
78,143,4,2025-12-11 17:39:57
79,100,3,2025-12-11 17:38:37
80,165,3,2025-12-11 17:38:05
81,51,1,2025-12-11 17:38:01
82,10,4,2025-12-11 17:37:40
83,49,1,2025-12-11 17:37:39
84,147,3,2025-12-11 17:38:08
85,5,3,2025-12-11 17:38:41
86,167,3,2025-12-11 17:39:31
87,107,1,2025-12-11 17:38:39
88,81,4,2025-12-11 17:38:00
89,22,2,2025-12-11 17:37:28
90,25,5,2025-12-11 17:39:17
91,134,5,2025-12-11 17:39:43
92,197,1,2025-12-11 17:37:26
93,152,2,2025-12-11 17:38:24
94,122,4,2025-12-11 17:39:17
95,142,5,2025-12-11 17:39:33
96,186,3,2025-12-11 17:39:37
97,31,5,2025-12-11 17:38:48
98,9,3,2025-12-11 17:37:01
99,63,3,2025-12-11 17:39:31
100,138,4,2025-12-11 17:39:38
101,76,1,2025-12-11 17:37:51
102,28,1,2025-12-11 17:40:01
103,77,2,2025-12-11 17:39:46
104,179,3,2025-12-11 17:39:42
105,98,2,2025-12-11 17:37:41
106,72,3,2025-12-11 17:38:40
107,106,1,2025-12-11 17:37:52
108,136,3,2025-12-11 17:38:05
109,20,4,2025-12-11 17:37:51
110,79,3,2025-12-11 17:37:14
111,105,1,2025-12-11 17:39:34
112,7,3,2025-12-11 17:37:39
113,84,2,2025-12-11 17:38:51
114,183,1,2025-12-11 17:37:41
115,36,5,2025-12-11 17:37:05
116,155,5,2025-12-11 17:38:13
117,26,3,2025-12-11 17:39:12
118,30,1,2025-12-11 17:37:35
119,68,3,2025-12-11 17:38:05
120,82,1,2025-12-11 17:37:06
121,47,5,2025-12-11 17:37:29
122,55,5,2025-12-11 17:38:29
123,21,2,2025-12-11 17:37:38
124,13,3,2025-12-11 17:37:18
125,80,5,2025-12-11 17:38:56
126,194,5,2025-12-11 17:37:54
127,21,5,2025-12-11 17:39:19
128,148,5,2025-12-11 17:37:29
129,77,5,2025-12-11 17:37:13
130,169,3,2025-12-11 17:37:18
131,26,4,2025-12-11 17:39:49
132,193,1,2025-12-11 17:39:14
133,80,4,2025-12-11 17:39:38
134,24,3,2025-12-11 17:38:54
135,69,1,2025-12-11 17:38:02
136,36,1,2025-12-11 17:37:53
137,25,5,2025-12-11 17:39:58
138,2,1,2025-12-11 17:39:41
139,123,1,2025-12-11 17:37:47
140,121,3,2025-12-11 17:38:13
141,104,5,2025-12-11 17:39:03
142,28,3,2025-12-11 17:37:26
143,41,5,2025-12-11 17:38:28
144,144,2,2025-12-11 17:39:49
145,21,3,2025-12-11 17:37:42
146,44,2,2025-12-11 17:38:28
147,167,5,2025-12-11 17:39:23
148,180,1,2025-12-11 17:39:30
149,162,1,2025-12-11 17:39:38
150,121,2,2025-12-11 17:39:36
151,187,2,2025-12-11 17:40:00
152,44,5,2025-12-11 17:40:01
153,62,4,2025-12-11 17:38:43
154,2,5,2025-12-11 17:39:02
155,70,5,2025-12-11 17:38:00
156,187,2,2025-12-11 17:39:38
157,127,5,2025-12-11 17:37:16
158,61,1,2025-12-11 17:37:49
159,111,2,2025-12-11 17:37:27
160,157,4,2025-12-11 17:38:40
161,50,5,2025-12-11 17:39:26
162,75,3,2025-12-11 17:38:55
163,35,4,2025-12-11 17:37:46
164,152,4,2025-12-11 17:39:14
165,149,3,2025-12-11 17:37:27
166,69,2,2025-12-11 17:39:19
167,158,1,2025-12-11 17:39:11
168,181,4,2025-12-11 17:38:35
169,66,5,2025-12-11 17:39:45
170,128,1,2025-12-11 17:39:17
171,30,4,2025-12-11 17:38:05
172,152,2,2025-12-11 17:37:10
173,192,3,2025-12-11 17:38:58
174,177,2,2025-12-11 17:38:02
175,148,2,2025-12-11 17:38:15
176,165,5,2025-12-11 17:37:59
177,31,2,2025-12-11 17:37:22
178,34,1,2025-12-11 17:39:27
179,60,2,2025-12-11 17:37:06
180,191,1,2025-12-11 17:39:55
181,188,1,2025-12-11 17:39:21
182,176,4,2025-12-11 17:38:31
183,35,2,2025-12-11 17:39:41
184,71,1,2025-12-11 17:38:55
185,148,1,2025-12-11 17:40:00
186,167,2,2025-12-11 17:37:55
187,184,1,2025-12-11 17:38:11
188,179,1,2025-12-11 17:38:41
189,106,1,2025-12-11 17:39:39
190,88,2,2025-12-11 17:39:13
191,115,2,2025-12-11 17:38:52
192,38,1,2025-12-11 17:38:59
193,95,3,2025-12-11 17:38:27
194,106,4,2025-12-11 17:39:56
195,169,5,2025-12-11 17:39:21
196,175,3,2025-12-11 17:39:33
197,114,2,2025-12-11 17:39:02
198,163,2,2025-12-11 17:37:16
199,53,4,2025-12-11 17:37:24
200,91,2,2025-12-11 17:38:25
201,171,2,2025-12-11 17:39:58
202,126,4,2025-12-11 17:38:14
203,71,4,2025-12-11 17:37:39
204,13,3,2025-12-11 17:39:51
205,1,4,2025-12-11 17:37:35
206,119,2,2025-12-11 17:39:50
207,16,1,2025-12-11 17:39:41
208,192,4,2025-12-11 17:39:07
209,135,3,2025-12-11 17:37:11
210,53,4,2025-12-11 17:39:39
211,29,3,2025-12-11 17:38:35
212,37,3,2025-12-11 17:38:36
213,72,2,2025-12-11 17:39:02
214,110,1,2025-12-11 17:38:57
215,122,5,2025-12-11 17:39:47
216,17,5,2025-12-11 17:37:41
217,117,3,2025-12-11 17:37:09
218,78,2,2025-12-11 17:37:13
219,116,2,2025-12-11 17:38:23
220,177,3,2025-12-11 17:39:58
221,123,4,2025-12-11 17:38:00
222,70,2,2025-12-11 17:38:47
223,123,2,2025-12-11 17:39:21
224,113,2,2025-12-11 17:39:15
225,5,2,2025-12-11 17:39:33
226,166,4,2025-12-11 17:37:14
227,99,2,2025-12-11 17:39:22
228,142,5,2025-12-11 17:39:28
229,165,2,2025-12-11 17:38:51
230,29,3,2025-12-11 17:38:10
231,185,3,2025-12-11 17:37:57
232,134,3,2025-12-11 17:38:21
233,177,1,2025-12-11 17:38:03
234,70,5,2025-12-11 17:39:20
235,80,4,2025-12-11 17:37:46
236,6,1,2025-12-11 17:37:09
237,146,1,2025-12-11 17:37:27
238,62,3,2025-12-11 17:39:19
239,65,2,2025-12-11 17:39:01
240,194,5,2025-12-11 17:39:06
241,158,5,2025-12-11 17:38:46
242,136,2,2025-12-11 17:38:56
243,161,4,2025-12-11 17:39:59
244,136,1,2025-12-11 17:37:21
245,39,1,2025-12-11 17:37:42
246,84,5,2025-12-11 17:39:27
247,108,5,2025-12-11 17:38:09
248,88,1,2025-12-11 17:39:47
249,124,2,2025-12-11 17:38:05
250,48,1,2025-12-11 17:37:20
251,188,3,2025-12-11 17:37:18
252,185,4,2025-12-11 17:38:35
253,65,3,2025-12-11 17:37:57
254,151,2,2025-12-11 17:39:42
255,161,4,2025-12-11 17:37:01
256,172,5,2025-12-11 17:39:38
257,145,5,2025-12-11 17:37:28
258,92,1,2025-12-11 17:37:39
259,98,4,2025-12-11 17:40:00
260,160,2,2025-12-11 17:39:07
261,63,3,2025-12-11 17:37:15
262,12,3,2025-12-11 17:38:54
263,92,4,2025-12-11 17:37:50
264,195,2,2025-12-11 17:38:39
265,137,3,2025-12-11 17:38:43
266,127,2,2025-12-11 17:37:46
267,111,5,2025-12-11 17:37:14
268,5,1,2025-12-11 17:38:45
269,27,5,2025-12-11 17:39:46
270,36,2,2025-12-11 17:37:39
271,106,1,2025-12-11 17:39:08
272,53,4,2025-12-11 17:37:33
273,106,5,2025-12-11 17:38:07
274,190,1,2025-12-11 17:38:12
275,27,5,2025-12-11 17:38:57
276,113,2,2025-12-11 17:37:04
277,57,2,2025-12-11 17:39:26
278,56,3,2025-12-11 17:39:29
279,25,1,2025-12-11 17:38:50
280,66,1,2025-12-11 17:39:01
281,151,4,2025-12-11 17:38:07
282,31,3,2025-12-11 17:38:34
283,165,5,2025-12-11 17:37:04
284,116,2,2025-12-11 17:38:57
285,24,3,2025-12-11 17:37:17
286,61,5,2025-12-11 17:38:51
287,31,1,2025-12-11 17:37:38
288,65,5,2025-12-11 17:38:00
289,138,2,2025-12-11 17:39:32
290,12,4,2025-12-11 17:37:40
291,177,3,2025-12-11 17:38:32
292,139,2,2025-12-11 17:37:35
293,169,1,2025-12-11 17:38:52
294,126,2,2025-12-11 17:39:54
295,106,3,2025-12-11 17:38:29
296,26,1,2025-12-11 17:39:53
297,129,5,2025-12-11 17:38:34
298,59,5,2025-12-11 17:38:26
299,72,1,2025-12-11 17:39:58
300,110,3,2025-12-11 17:39:42
301,92,4,2025-12-11 17:38:54
302,143,2,2025-12-11 17:38:27
303,7,1,2025-12-11 17:38:54
304,161,5,2025-12-11 17:38:45
305,6,3,2025-12-11 17:39:51
306,50,2,2025-12-11 17:39:12
307,41,2,2025-12-11 17:37:32
308,189,1,2025-12-11 17:37:29
309,188,2,2025-12-11 17:37:42
310,51,2,2025-12-11 17:37:02
311,51,2,2025-12-11 17:37:10
312,76,4,2025-12-11 17:38:32
313,16,4,2025-12-11 17:38:48
314,58,5,2025-12-11 17:38:23
315,35,1,2025-12-11 17:39:56
316,31,2,2025-12-11 17:38:22
317,94,3,2025-12-11 17:38:29
318,176,4,2025-12-11 17:38:03
319,40,1,2025-12-11 17:37:13
320,41,4,2025-12-11 17:39:51
321,97,1,2025-12-11 17:38:05
322,44,3,2025-12-11 17:37:06
323,9,5,2025-12-11 17:39:04
324,45,4,2025-12-11 17:38:12
325,28,1,2025-12-11 17:37:51
326,196,2,2025-12-11 17:39:41
327,55,1,2025-12-11 17:39:33
328,40,4,2025-12-11 17:37:53
329,28,4,2025-12-11 17:39:16
330,59,2,2025-12-11 17:38:58
331,69,5,2025-12-11 17:37:41
332,183,5,2025-12-11 17:39:50
333,174,5,2025-12-11 17:38:56
334,152,5,2025-12-11 17:37:03
335,85,4,2025-12-11 17:39:02
336,41,5,2025-12-11 17:39:48
337,137,5,2025-12-11 17:38:33
338,56,4,2025-12-11 17:39:36
339,109,2,2025-12-11 17:37:55
340,157,4,2025-12-11 17:37:59
341,72,3,2025-12-11 17:38:31
342,67,5,2025-12-11 17:39:39
343,55,1,2025-12-11 17:39:48
344,51,4,2025-12-11 17:37:46
345,76,4,2025-12-11 17:38:14
346,198,5,2025-12-11 17:37:43
347,120,1,2025-12-11 17:37:50
348,149,1,2025-12-11 17:39:23
349,178,2,2025-12-11 17:38:17
350,14,2,2025-12-11 17:38:05
351,189,5,2025-12-11 17:39:22
352,29,5,2025-12-11 17:37:34
353,123,4,2025-12-11 17:38:04
354,167,5,2025-12-11 17:39:57
355,183,2,2025-12-11 17:37:39
356,14,5,2025-12-11 17:39:20
357,47,5,2025-12-11 17:39:31
358,60,2,2025-12-11 17:37:04
359,62,1,2025-12-11 17:37:25
360,131,5,2025-12-11 17:39:01
361,140,1,2025-12-11 17:37:17
362,62,5,2025-12-11 17:37:10
363,142,1,2025-12-11 17:38:42
364,87,5,2025-12-11 17:37:52
365,138,1,2025-12-11 17:39:05
366,67,3,2025-12-11 17:39:15
367,86,5,2025-12-11 17:37:20
368,35,2,2025-12-11 17:39:57
369,12,4,2025-12-11 17:37:32
370,126,2,2025-12-11 17:39:20
371,36,2,2025-12-11 17:38:51
372,179,1,2025-12-11 17:39:14
373,133,2,2025-12-11 17:39:31
374,160,4,2025-12-11 17:38:03
375,19,4,2025-12-11 17:39:20
376,185,5,2025-12-11 17:37:55
377,21,3,2025-12-11 17:39:30
378,118,2,2025-12-11 17:39:56
379,175,3,2025-12-11 17:40:01
380,87,1,2025-12-11 17:38:28
381,9,1,2025-12-11 17:38:07
382,200,1,2025-12-11 17:37:49
383,199,1,2025-12-11 17:38:11
384,186,1,2025-12-11 17:39:41
385,22,3,2025-12-11 17:38:26
386,43,5,2025-12-11 17:39:08
387,21,1,2025-12-11 17:39:58
388,177,2,2025-12-11 17:39:57
389,124,1,2025-12-11 17:37:20
390,113,5,2025-12-11 17:37:35
391,166,3,2025-12-11 17:39:24
392,15,5,2025-12-11 17:38:13
393,7,2,2025-12-11 17:37:15
394,91,3,2025-12-11 17:37:56
395,98,1,2025-12-11 17:39:10
396,130,3,2025-12-11 17:38:08
397,193,3,2025-12-11 17:37:16
398,67,2,2025-12-11 17:38:35
399,22,5,2025-12-11 17:39:22
400,38,5,2025-12-11 17:39:16
401,172,5,2025-12-11 17:38:59
402,139,4,2025-12-11 17:37:02
403,74,4,2025-12-11 17:38:05
404,134,1,2025-12-11 17:39:38
405,39,2,2025-12-11 17:37:24
406,196,3,2025-12-11 17:39:26
407,129,5,2025-12-11 17:37:51
408,11,3,2025-12-11 17:37:30
409,98,4,2025-12-11 17:39:21
410,11,5,2025-12-11 17:39:47
411,112,4,2025-12-11 17:38:59
412,7,1,2025-12-11 17:37:57
413,154,1,2025-12-11 17:37:34
414,1,3,2025-12-11 17:38:00
415,63,4,2025-12-11 17:37:50
416,89,3,2025-12-11 17:38:24
417,23,3,2025-12-11 17:37:27
418,186,5,2025-12-11 17:39:26
419,71,5,2025-12-11 17:38:25
420,39,4,2025-12-11 17:37:14
421,97,5,2025-12-11 17:39:38
422,32,2,2025-12-11 17:38:47
423,106,2,2025-12-11 17:37:36
424,69,5,2025-12-11 17:37:49
425,59,3,2025-12-11 17:38:04
426,95,1,2025-12-11 17:38:19
427,94,3,2025-12-11 17:38:10
428,44,5,2025-12-11 17:37:07
429,97,1,2025-12-11 17:39:53
430,142,1,2025-12-11 17:38:34
431,161,4,2025-12-11 17:39:26
432,14,4,2025-12-11 17:39:52
433,54,2,2025-12-11 17:38:03
434,106,5,2025-12-11 17:39:22
435,158,5,2025-12-11 17:39:38
436,118,5,2025-12-11 17:39:20
437,91,1,2025-12-11 17:38:01
438,198,5,2025-12-11 17:38:03
439,200,5,2025-12-11 17:37:51
440,48,2,2025-12-11 17:37:54
441,17,1,2025-12-11 17:38:55
442,69,1,2025-12-11 17:39:54
443,32,4,2025-12-11 17:39:14
444,65,5,2025-12-11 17:39:05
445,32,5,2025-12-11 17:37:53
446,136,1,2025-12-11 17:39:52
447,67,3,2025-12-11 17:39:49
448,165,2,2025-12-11 17:37:59
449,141,4,2025-12-11 17:38:24
450,128,2,2025-12-11 17:39:15
451,133,2,2025-12-11 17:37:16
452,97,2,2025-12-11 17:38:24
453,136,1,2025-12-11 17:39:21
454,103,3,2025-12-11 17:37:42
455,63,2,2025-12-11 17:39:37
456,173,1,2025-12-11 17:39:42
457,37,4,2025-12-11 17:39:30
458,159,3,2025-12-11 17:39:16
459,186,2,2025-12-11 17:39:35
460,134,5,2025-12-11 17:39:57
461,166,3,2025-12-11 17:38:27
462,105,3,2025-12-11 17:39:26
463,41,1,2025-12-11 17:39:09
464,63,4,2025-12-11 17:37:18
465,194,2,2025-12-11 17:38:13
466,95,5,2025-12-11 17:39:13
467,111,2,2025-12-11 17:39:18
468,27,3,2025-12-11 17:37:04
469,200,3,2025-12-11 17:38:23
470,22,4,2025-12-11 17:39:38
471,11,4,2025-12-11 17:38:26
472,75,4,2025-12-11 17:37:18
473,41,3,2025-12-11 17:38:30
474,193,3,2025-12-11 17:38:28
475,194,3,2025-12-11 17:38:46
476,11,2,2025-12-11 17:39:05
477,104,2,2025-12-11 17:38:11
478,185,3,2025-12-11 17:38:44
479,88,5,2025-12-11 17:38:18
480,175,2,2025-12-11 17:37:35
481,76,2,2025-12-11 17:37:47
482,187,1,2025-12-11 17:38:59
483,172,1,2025-12-11 17:37:51
484,121,4,2025-12-11 17:37:14
485,79,4,2025-12-11 17:37:10
486,72,3,2025-12-11 17:38:47
487,132,5,2025-12-11 17:38:02
488,136,5,2025-12-11 17:38:41
489,6,2,2025-12-11 17:38:16
490,188,1,2025-12-11 17:38:59
491,95,2,2025-12-11 17:37:10
492,143,5,2025-12-11 17:38:12
493,133,2,2025-12-11 17:39:15
494,71,3,2025-12-11 17:39:03
495,186,2,2025-12-11 17:37:16
496,120,5,2025-12-11 17:38:16
497,179,1,2025-12-11 17:37:36
498,173,3,2025-12-11 17:39:16
499,10,3,2025-12-11 17:39:41
500,176,1,2025-12-11 17:37:12
